#Cu crystal, 4 shells                                     Feff 6.01l  potph 4.12
#Abs   Z=29 Rmt= 1.289 Rnm= 1.427 K shell
#Pot 1 Z=29 Rmt= 1.275 Rnm= 1.399
#Gam_ch=1.761E+00 H-L exch
#Mu=-5.493E+00 kf=1.793E+00 Vint=-1.774E+01 Rs_int= 2.023
#S02  1.000   Temp  190.00  Debye temp  315.00            Feff 6.01l ff2chi 2.01
#Curved wave amplitude ratio filter   4.000%
#   file           sig2  cw amp ratio   deg  nlegs  r effective
#feff0001.dat    0.00609    100.00     12.00     2   2.5527
#feff0002.dat    0.00748     22.99      6.00     2   3.6100
#feff0003.dat    0.00685     10.56     48.00     3   3.8290
#feff0004.dat    0.00756      8.67     48.00     3   4.3577
#feff0005.dat    0.00767     55.44     24.00     2   4.4213
#feff0006.dat    0.00772     10.61     48.00     3   4.7633
#feff0007.dat    0.00772     22.03     96.00     3   4.7633
#feff0008.dat    0.00775     18.96     12.00     2   5.1053
#feff0009.dat    0.00775      8.46     12.00     3   5.1053
#feff0010.dat    0.00775     43.81     24.00     3   5.1053
#feff0011.dat    0.00775      8.25     12.00     4   5.1053
#feff0014.dat    0.00775     32.88     12.00     4   5.1053
#  12/  14 paths used
#-------------------------------------------------------------------------------
#     k          chi          mag           phase @#
    14.7000    5.555370E-04  1.306476E-03  5.925106E+01
    14.7500    3.467097E-04  1.266970E-03  5.941307E+01
    14.8000    1.412122E-04  1.259096E-03  5.957787E+01
    14.8500   -8.273485E-05  1.277359E-03  5.975508E+01
    14.9000   -3.381634E-04  1.313271E-03  5.995069E+01
    14.9500   -6.224270E-04  1.357551E-03  6.016656E+01
    15.0000   -9.151000E-04  1.401762E-03  6.040156E+01
    15.0500   -1.202864E-03  1.465393E-03  6.065315E+01
    15.1000   -1.433109E-03  1.521387E-03  6.091873E+01
    15.1500   -1.562399E-03  1.565745E-03  6.119567E+01
    15.2000   -1.556903E-03  1.595575E-03  6.148167E+01
    15.2500   -1.401255E-03  1.608932E-03  6.177478E+01
    15.3000   -1.103766E-03  1.604689E-03  6.207335E+01
    15.3500   -6.966458E-04  1.582426E-03  6.237599E+01
    15.4000   -2.310547E-04  1.542332E-03  6.268148E+01
    15.4500    2.319804E-04  1.485130E-03  6.298870E+01
    15.5000    6.327948E-04  1.412006E-03  6.329655E+01
    15.5500    9.239988E-04  1.324551E-03  6.360389E+01
    15.6000    1.078708E-03  1.224701E-03  6.390939E+01
    15.6500    1.094376E-03  1.114695E-03  6.421142E+01
    15.7000    9.915361E-04  9.970437E-04  6.450781E+01
    15.7500    8.079307E-04  8.745240E-04  6.479542E+01
    15.8000    5.894990E-04  7.502217E-04  6.506951E+01
    15.8500    3.803614E-04  6.276790E-04  6.532245E+01
    15.9000    2.140424E-04  5.112553E-04  6.554148E+01
    15.9500    1.077915E-04  4.069240E-04  6.570535E+01
    16.0000    6.104756E-05  3.236813E-04  6.578371E+01
    16.0500    5.736825E-05  2.762506E-04  6.576426E+01
    16.1000    7.544157E-05  2.710570E-04  6.569140E+01
    16.1500    8.843841E-05  3.044679E-04  6.567873E+01
    16.2000    7.237586E-05  3.598372E-04  6.577093E+01
    16.2500    1.221002E-05  4.227147E-04  6.594456E+01
    16.3000   -9.443892E-05  4.847150E-04  6.616954E+01
    16.3500   -2.366745E-04  5.413182E-04  6.642595E+01
    16.4000   -3.928318E-04  5.900244E-04  6.670200E+01
    16.4500   -5.354070E-04  6.294337E-04  6.699061E+01
